2026-05-22 03:05:18 | INFO     | services.decision_engine | Decision output → {'action': 'SEND_AGENT', 'reason': 'Image authenticity could not be determined (API error). Sending to agent for manual image check.', 'severity': 'MEDIUM'}
2026-05-22 03:06:29 | INFO     | main | Validate request: orders=200, returns=6, fraud_flag=0
2026-05-22 03:06:29 | INFO     | services.decision_engine | Decision input → image_status=UNKNOWN, confidence=0.5, risk_level=LOW, risk_score=0.5391, return_type=return
2026-05-22 03:06:29 | INFO     | services.decision_engine | Decision output → {'action': 'SEND_AGENT', 'reason': 'Image authenticity could not be determined (API error). Sending to agent for manual image check.', 'severity': 'MEDIUM'}
2026-05-22 03:06:40 | INFO     | main | Validate request: orders=200, returns=6, fraud_flag=0
2026-05-22 03:06:40 | INFO     | services.decision_engine | Decision input → image_status=UNKNOWN, confidence=0.5, risk_level=LOW, risk_score=0.5392, return_type=return
2026-05-22 03:06:40 | INFO     | services.decision_engine | Decision output → {'action': 'SEND_AGENT', 'reason': 'Image authenticity could not be determined (API error). Sending to agent for manual image check.', 'severity': 'MEDIUM'}
2026-05-22 08:39:23 | INFO     | main | Validate request: orders=20, returns=2, fraud_flag=0
2026-05-22 08:39:26 | INFO     | services.ml_service | ML model and scaler loaded successfully.
2026-05-22 08:39:30 | INFO     | services.hive_service | Hive AI v3 response status: 200
2026-05-22 08:39:30 | INFO     | services.hive_service | Hive v3 parsed — real=0.9981 ai=0.0019 deepfake_tools=0.0000
2026-05-22 08:39:30 | INFO     | services.decision_engine | Decision input → image_status=AUTHENTIC, confidence=0.9981, risk_level=LOW, risk_score=0.0073, return_type=returnless
2026-05-22 08:39:30 | INFO     | services.decision_engine | Decision output → {'action': 'PROCEED', 'reason': 'Image AUTHENTIC (confidence 100%) and ML risk is LOW. Return approved — no further action required.', 'severity': 'LOW'}
2026-05-22 08:39:50 | INFO     | main | Validate request: orders=20, returns=14, fraud_flag=0
2026-05-22 08:39:53 | INFO     | services.hive_service | Hive AI v3 response status: 200
2026-05-22 08:39:53 | INFO     | services.hive_service | Hive v3 parsed — real=0.9981 ai=0.0019 deepfake_tools=0.0000
2026-05-22 08:39:53 | INFO     | services.decision_engine | Decision input → image_status=AUTHENTIC, confidence=0.9981, risk_level=MEDIUM, risk_score=0.6501, return_type=returnless
2026-05-22 08:39:53 | INFO     | services.decision_engine | Decision output → {'action': 'PROCEED', 'reason': 'Image AUTHENTIC (confidence 100%) and ML risk is MEDIUM. Return approved — no further action required.', 'severity': 'LOW'}
2026-05-22 08:40:21 | INFO     | main | Validate request: orders=200, returns=77, fraud_flag=0
2026-05-22 08:40:23 | INFO     | services.hive_service | Hive AI v3 response status: 200
2026-05-22 08:40:23 | INFO     | services.hive_service | Hive v3 parsed — real=0.9981 ai=0.0019 deepfake_tools=0.0000
2026-05-22 08:40:23 | INFO     | services.decision_engine | Decision input → image_status=AUTHENTIC, confidence=0.9981, risk_level=LOW, risk_score=0.5379, return_type=returnless
2026-05-22 08:40:23 | INFO     | services.decision_engine | Decision output → {'action': 'PROCEED', 'reason': 'Image AUTHENTIC (confidence 100%) and ML risk is LOW. Return approved — no further action required.', 'severity': 'LOW'}
2026-05-22 08:40:31 | INFO     | main | Validate request: orders=200, returns=77, fraud_flag=1
2026-05-22 08:40:37 | INFO     | services.hive_service | Hive AI v3 response status: 200
2026-05-22 08:40:37 | INFO     | services.hive_service | Hive v3 parsed — real=0.9981 ai=0.0019 deepfake_tools=0.0000
